ID,raw_photo,detection_photo,berry-immature,berry-mature,flower,total_detections
W22101207,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22101207.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22101207.jpg,171,63,0,234
W22101506,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22101506.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22101506.jpg,355,90,0,445
W22101712,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22101712.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22101712.jpg,270,28,0,298
W22110202,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22110202.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22110202.jpg,47,5,0,52
W22110306,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22110306.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22110306.jpg,107,36,9,152
W22110406,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22110406.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22110406.jpg,86,53,6,145
W22110708,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22110708.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22110708.jpg,87,43,0,130
W22110905,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22110905.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22110905.jpg,225,67,0,292
W22111307,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22111307.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22111307.jpg,577,40,0,617
W22120307,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22120307.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22120307.jpg,372,99,0,471
W22120401,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22120401.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22120401.jpg,129,47,2,178
