ID,raw_photo,detection_photo,genotype,latitude,longitude,berry-immature,berry-mature,flower,total_detections,is_skipped,leaf_count,leaf_segmentation_photo,LDI Whole (%),LDI Bounded (%),LDI Hull/Solidity (%),Canopy Width (px),Canopy Height (px),Canopy Area (px^2),Canopy Perimeter (px),Convex Hull Area (px^2),Solidity,Bounding Box Area (px^2),Width-Height Ratio,Circularity,Fractal Dimension,Orientation,Major Axis Length,Minor Axis Length,Mean GLI,Mean VARI,Mean Hue,Std Dev Hue,Mean Saturation,Std Dev Saturation,Mean Value,Std Dev Value,Yellow (%),Brown (%),Texture Contrast,Texture Dissimilarity,Texture Homogeneity,Texture Energy,Texture Correlation,Texture ASM
W22072805,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22072805.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22072805.jpg,unknown,,,26,22,0,48,no,495,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W22072805.jpg,22.15913861,28.78027612,32.06603746,3174,4346,3970010,327115.1192,12380731.5,0.320660375,13794204,0.730326737,0.00046623,1.488951591,179.6994763,3743.180248,3330.542151,0.18828286,91.895256,49.69946045,12.99272724,107.6994333,42.8575029,110.311239,44.51622195,25.08704008,0.01032743,391.4391215,7.888270625,0.460776536,0.305540375,0.957542209,0.093355843
W22072806,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22072806.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22072806.jpg,unknown,,,28,22,0,50,no,408,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W22072806.jpg,23.98668245,33.14865693,40.59505992,2983,4346,4297431,224141.2433,10586093.5,0.405950599,12964118,0.686378279,0.001074918,1.431723875,-175.1704324,3789.617217,2992.116972,0.17026989,147.54138,54.42641988,14.94461022,97.23413919,33.31352192,112.8813957,50.57503488,19.15835298,0.009517314,291.5155422,6.556087249,0.470442712,0.319176409,0.970606367,0.101874352
W22072905,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22072905.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22072905.jpg,unknown,,,177,128,1,306,no,403,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W22072905.jpg,22.78160789,31.63313224,34.13634327,3449,3741,4081531,296273.7428,11956556,0.341363433,12902709,0.921946004,0.000584314,1.473230519,65.08156638,3705.728679,3250.220512,0.19156937,57.028496,47.1550847,11.33369246,110.8843299,41.8576588,112.484748,48.24440533,30.45450347,0.006713167,424.8048414,8.893952149,0.408708815,0.257194974,0.954208009,0.066149903
W22072907,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22072907.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22072907.jpg,unknown,,,141,81,2,224,no,390,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W22072907.jpg,21.59731934,28.70981514,36.45449144,3276,4114,3869355,323491.5467,10614206.5,0.364544914,13477464,0.796305299,0.000464646,1.490003706,-138.220129,3447.707047,2984.306481,0.19595668,101.23614,46.638754,11.29225355,113.9157997,41.43487444,117.4917908,48.93975927,34.44556005,0.003824927,370.5949123,8.155200857,0.461102121,0.333087156,0.964291824,0.110947445
W22080302,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22080302.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22080302.jpg,unknown,,,13,5,1,19,no,424,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W22080302.jpg,29.56433011,40.05937757,50.2406239,3421,3865,5296717,143802.1146,10542697.5,0.502406239,13222165,0.885122898,0.003218741,1.355056721,-135.1514969,3692.767621,3085.501408,0.19045253,66.76596,58.05599412,14.44898613,102.6267001,31.94345142,122.3697441,55.69558737,13.598631,0.001906842,216.4458478,5.752898327,0.455462319,0.292692013,0.979315568,0.08566923
W22080304,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22080304.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22080304.jpg,unknown,,,17,7,1,25,no,471,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W22080304.jpg,32.50290915,48.98136304,56.81236356,3437,3459,5823190,119620.5902,10249864,0.568123636,11888583,0.99363978,0.005113979,1.323175007,107.279289,3465.913311,2928.650583,0.20306987,73.7945,55.43389139,13.86792118,108.1490894,35.54420527,129.4949847,56.32295642,15.75318683,0.003795171,305.6927077,7.330698452,0.403235714,0.257549996,0.973591461,0.066332738
W22080401,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22080401.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22080401.jpg,unknown,,,27,0,3,30,no,241,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W22080401.jpg,22.97137783,34.96139875,47.97669344,3442,3420,4115530,169151.2072,8578186,0.479766934,11771640,1.006432749,0.00180753,1.398825921,67.96614432,3437.97179,2727.676334,0.19351798,0.26073915,53.74667248,14.16418794,106.3393162,38.47079201,123.6409092,53.15386791,18.51513657,0.003814819,280.2995265,6.771772238,0.47992228,0.340586141,0.974788367,0.115999423
W22080404,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22080404.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22080404.jpg,unknown,,,18,6,24,48,no,556,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W22080404.jpg,42.34044791,49.80550986,54.27658443,3456,4407,7585674,198263.1254,13975960.5,0.542765844,15230592,0.784206943,0.002425047,1.364879631,163.2922956,4155.897486,3742.453805,0.19108099,19.407476,56.59219181,14.96111303,105.3690048,33.21835523,127.6173658,60.22844517,16.35598893,0.003902092,312.7556192,7.080665155,0.36751696,0.17058165,0.974599858,0.029099114
W22101004,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22101004.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22101004.jpg,unknown,,,382,102,1,485,no,427,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W22101004.jpg,32.90040514,40.12131269,42.47474713,3456,4251,5894405,221067.2189,13877434,0.424747471,14691456,0.81298518,0.001515658,1.400932399,138.8648067,4355.83733,3271.28951,0.19636497,275.08783,52.57454467,13.60834302,107.8734162,38.74968927,117.8516417,52.90883861,19.38685923,0.012367661,389.7713267,8.539833223,0.352028537,0.178143759,0.961023773,0.031735685
W22101006,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22101006.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22101006.jpg,unknown,,,456,83,1,540,no,474,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W22101006.jpg,34.48128545,40.14203768,43.38958932,3449,4462,6177634,327649.1645,14237595,0.433895893,15389438,0.772971762,0.000723126,1.447055731,-148.886099,4468.163089,3508.951249,0.21580885,134.24026,47.43209115,11.59001866,122.1353869,44.88146445,120.2320838,49.01711043,30.44013291,0.005228539,437.7642288,9.470502878,0.346665686,0.161598024,0.953461332,0.026114449
W22101201,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22101201.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22101201.jpg,unknown,,,399,125,0,524,no,277,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W22101201.jpg,17.16069142,24.78713411,28.33468533,3456,3589,3074493,304993.4043,10850634,0.283346853,12403584,0.962942324,0.000415339,1.505055764,71.3702256,3445.207008,3003.674959,0.1755929,115.35064,50.92639079,13.72478212,100.8367812,39.03724771,114.1711268,49.95558442,23.36681202,0.015937587,351.1830814,7.990340274,0.436868294,0.29937529,0.960358941,0.089626222
W22101207,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W22101207.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W22101207.jpg,unknown,,,171,63,0,234,no,213,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W22101207.jpg,14.95369701,21.04616426,29.86251666,2901,4388,2679090,201111.9681,8971414,0.298625167,12729588,0.66112124,0.000832379,1.462783824,117.1259547,2922.93108,2895.393224,0.18769321,98.75184,49.82769597,12.70187527,106.2117435,39.30092294,117.8324185,49.87215263,24.65213935,0.006942656,263.3969081,5.591897705,0.609454718,0.512778477,0.97183004,0.26294229
